clip_id,frame,track_id,x1,y1,x2,y2,confianza,confirmado,reid_sim,track_id_bytetrack
retail_iprox_caja,119,1,4.8,149.0,284.3,710.8,0.8414,1,,1
retail_iprox_caja,120,1,4.9,149.0,284.3,710.9,0.841,1,,1
retail_iprox_caja,121,1,4.4,149.0,283.8,711.5,0.87,1,,1
retail_iprox_caja,122,1,4.2,149.0,283.6,711.7,0.8698,1,,1
retail_iprox_caja,123,1,4.2,149.0,283.4,711.8,0.8698,1,,1
retail_iprox_caja,124,1,4.2,148.9,283.2,711.8,0.8696,1,,1
retail_iprox_caja,125,1,4.2,149.0,283.1,711.8,0.8695,1,,1
retail_iprox_caja,126,1,4.3,149.0,283.0,711.8,0.8694,1,,1
retail_iprox_caja,127,1,4.4,149.0,282.9,711.8,0.8696,1,,1
retail_iprox_caja,128,1,4.5,149.0,282.9,711.8,0.8695,1,,1
retail_iprox_caja,129,1,4.5,149.0,282.8,711.8,0.8696,1,,1
retail_iprox_caja,130,1,4.6,149.0,282.7,711.7,0.8676,1,,1
retail_iprox_caja,131,1,4.6,149.0,282.6,711.7,0.8671,1,,1
retail_iprox_caja,132,1,4.7,149.0,282.5,711.7,0.8672,1,,1
retail_iprox_caja,133,1,4.7,149.1,282.4,711.7,0.8672,1,,1
retail_iprox_caja,134,1,4.7,149.1,282.3,711.6,0.8666,1,,1
retail_iprox_caja,135,1,4.3,149.2,281.6,711.7,0.8648,1,,1
retail_iprox_caja,136,1,4.3,149.2,281.4,711.7,0.8656,1,,1
retail_iprox_caja,137,1,4.2,149.2,281.1,711.7,0.8654,1,,1
retail_iprox_caja,138,1,4.2,149.3,281.0,711.7,0.8658,1,,1
retail_iprox_caja,139,1,4.3,149.3,280.9,711.7,0.8656,1,,1
retail_iprox_caja,140,1,4.4,149.3,280.8,711.7,0.8664,1,,1
retail_iprox_caja,141,1,4.4,149.3,280.8,711.8,0.8662,1,,1
retail_iprox_caja,142,1,4.5,149.3,280.7,711.8,0.8662,1,,1
retail_iprox_caja,143,1,4.5,149.3,280.7,711.8,0.866,1,,1
retail_iprox_caja,144,1,4.6,149.3,280.6,711.8,0.8657,1,,1
retail_iprox_caja,145,1,3.1,149.5,277.4,709.5,0.8657,1,,1
retail_iprox_caja,146,1,2.9,149.5,276.5,708.7,0.8671,1,,1
retail_iprox_caja,147,1,2.9,149.5,276.0,708.4,0.867,1,,1
retail_iprox_caja,148,1,3.0,149.6,275.7,708.3,0.867,1,,1
retail_iprox_caja,149,1,3.1,149.6,275.5,708.3,0.8673,1,,1
retail_iprox_caja,150,1,2.9,149.6,275.0,708.3,0.869,1,,1
retail_iprox_caja,151,1,3.0,149.5,274.8,708.3,0.8689,1,,1
retail_iprox_caja,152,1,3.1,149.6,274.6,708.1,0.8684,1,,1
retail_iprox_caja,153,1,3.3,149.6,274.5,708.1,0.8686,1,,1
retail_iprox_caja,154,1,3.4,149.6,274.4,708.0,0.8687,1,,1
retail_iprox_caja,155,1,4.5,149.5,276.6,710.3,0.8686,1,,1
retail_iprox_caja,156,1,4.8,149.4,277.4,711.1,0.8675,1,,1
retail_iprox_caja,157,1,4.9,149.4,277.6,711.4,0.8675,1,,1
retail_iprox_caja,158,1,4.9,149.4,277.6,711.5,0.8668,1,,1
retail_iprox_caja,159,1,4.9,149.4,277.8,711.5,0.8676,1,,1
retail_iprox_caja,160,1,9.7,149.5,284.0,711.6,0.8753,1,,1
retail_iprox_caja,161,1,7.2,149.6,280.8,710.1,0.8339,1,,1
retail_iprox_caja,162,1,6.1,149.6,279.2,709.2,0.8299,1,,1
retail_iprox_caja,163,1,5.7,149.6,278.6,708.8,0.8288,1,,1
retail_iprox_caja,164,1,5.5,149.6,278.3,708.9,0.8316,1,,1
retail_iprox_caja,165,1,5.6,149.6,278.4,708.9,0.8326,1,,1
retail_iprox_caja,166,1,5.8,149.7,278.7,709.0,0.8316,1,,1
retail_iprox_caja,167,1,5.6,149.8,278.6,708.9,0.8287,1,,1
retail_iprox_caja,168,1,5.5,149.7,278.4,709.0,0.8307,1,,1
retail_iprox_caja,169,1,5.4,149.7,278.4,709.0,0.829,1,,1
retail_iprox_caja,170,1,5.5,149.7,278.4,709.0,0.829,1,,1
retail_iprox_caja,171,1,5.4,149.7,278.4,709.0,0.8295,1,,1
retail_iprox_caja,172,1,5.4,149.7,278.4,709.0,0.83,1,,1
retail_iprox_caja,173,1,5.5,149.7,278.4,708.9,0.8262,1,,1
retail_iprox_caja,174,1,5.6,149.7,278.5,708.8,0.8229,1,,1
retail_iprox_caja,175,1,5.3,149.5,279.0,709.9,0.8219,1,,1
retail_iprox_caja,176,1,5.3,149.4,279.3,710.4,0.8255,1,,1
